package,airplane_folder,icao_designator,aircraft_title,max_indicated_speed,max_mach,normal_operating_speed,max_flaps_extended,max_gear_extended,crossover_speed,rotation_speed_min,full_flaps_stall_speed,flaps_up_stall_speed,takeoff_speed,cruise_speed,cruise_mach,vne_vmo_kias,mmo_mach,source_path,fuente_tipo,notas
LRPs AirHispania,LRP_Atr_72-500,AT72,LRP AT72,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_Atr_72-500\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_Beechcraft_King_Air_350,AT43,LRP B350,205,0.6,176,123,,,-1,61,68,70,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_Beechcraft_King_Air_350\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_Cessna_140,C140,LRP C140,121,0.238,86,78,400,0,38,54,43,38,105,0.194,121,0.238,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_Cessna_140\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_Cessna_182_Skylane,C182,LRP C182,205,0.6,176,123,,,-1,59,68,55,176,,205,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_Cessna_182_Skylane\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_Douglas_DC-6,DC6,LRP DC6,350,0.82,360,274.030126,,,-1,121,179,140,455,,350,0.82,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_Douglas_DC-6\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_H160,H160,LRP H160,205,,162,119,341.831268,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_H160\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,LRP_JU52,Ju52,LRP JU52,188,0.6,104,85,219.447235,0,48,58,63,54,98,0.6,188,0.6,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\LRP_JU52\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_AT42,AT43,LRP AT42,300,0.65,260,150,280,240,112,95,140,115,280,0.6,300,0.65,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_AT42\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_As32,as32,LRP AS32,205,,162,119,341.830994,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_As32\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
LRPs AirHispania,lrp_B06,B06,LRP B06,205,,162,119,341.831,0,76,64,70,76,171,0.383,205,,G:\Flight simulator 2020\MSFS2020\Community\LRPs AirHispania\SimObjects\Airplanes\lrp_B06\flight_model.cfg,referencia_sim,MSFS flight_model.cfg [REFERENCE SPEEDS] - NO es POH certificado
