aircraft_code,nombre,limite,valor,unidad,fuente_tipo,fuente,fecha,estado,notas
C172,Cessna 172 Skyhawk,VNE,163,KIAS,limites_poh,"POH/AFM Cessna 172S (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1/2-2, pag. 2-4/2-5.",2026-08-23,verificado,
C172,Cessna 172 Skyhawk,VMO,no_aplica,KIAS,limites_poh,"POH/AFM Cessna 172S (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1/2-2, pag. 2-4/2-5.",2026-08-23,no_aplica,
C172,Cessna 172 Skyhawk,MMO,no_aplica,Mach,limites_poh,"POH/AFM Cessna 172S (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1/2-2, pag. 2-4/2-5.",2026-08-23,no_aplica,
C208,Cessna 208 Caravan,VNE,no_aplica,KIAS,limites_poh,"POH/AFM Cessna 208B G1000 (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1, pag. 2-4.",2026-08-23,no_aplica,POH usa VMO (no VNE) pese a turbohelice - terminologia POH respetada
C208,Cessna 208 Caravan,VMO,175,KIAS,limites_poh,"POH/AFM Cessna 208B G1000 (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1, pag. 2-4.",2026-08-23,verificado,POH usa VMO (no VNE) pese a turbohelice - terminologia POH respetada
C208,Cessna 208 Caravan,MMO,no_aplica,Mach,limites_poh,"POH/AFM Cessna 208B G1000 (Information Manual, duplicado del oficial), Section 2 Limitations, Figure 2-1, pag. 2-4.",2026-08-23,no_aplica,POH usa VMO (no VNE)
DA62,Diamond DA62,VNE,205,KIAS,referencia_sim,"flight_model.cfg de asobo-aircraft-da62 (MSFS 2020), seccion [REFERENCE SPEEDS]. Verificado en disco local.",2026-08-23,verificado,MSFS flight_model.cfg [REFERENCE SPEEDS] max_indicated_speed/max_mach - NO es POH certificado (NO evaluar infraccion)
DA62,Diamond DA62,VMO,no_aplica,KIAS,limites_poh,,,no_aplica,
DA62,Diamond DA62,MMO,no_aplica,Mach,limites_poh,,,no_aplica,
BE58,Beechcraft Baron G58,VNE,223,KIAS,limites_poh,"Seneca College School of Aviation, Flight Manual for Raytheon Beechcraft B58 Baron (version B1, basado en el AFM/POH oficial, uso academico), Section II Limitations, pag. 2-3/2-4.",2026-08-23,verificado,
BE58,Beechcraft Baron G58,VMO,no_aplica,KIAS,limites_poh,"Seneca College School of Aviation, Flight Manual for Raytheon Beechcraft B58 Baron (version B1, basado en el AFM/POH oficial, uso academico), Section II Limitations, pag. 2-3/2-4.",2026-08-23,no_aplica,
BE58,Beechcraft Baron G58,MMO,no_aplica,Mach,limites_poh,"Seneca College School of Aviation, Flight Manual for Raytheon Beechcraft B58 Baron (version B1, basado en el AFM/POH oficial, uso academico), Section II Limitations, pag. 2-3/2-4.",2026-08-23,no_aplica,
TBM9,Daher TBM 930,VNE,no_aplica,KIAS,limites_poh,"Daher TBM 900 Pilot's Operating Handbook (PIM), Section 2 Limitations, EASA Approved, Edition 0 (31-Oct-2013) Rev.4/6, TC EASA.A.010 / FAA N.A60EU.",2026-08-23,no_aplica,
TBM9,Daher TBM 930,VMO,266,KIAS,limites_poh,"Daher TBM 900 Pilot's Operating Handbook (PIM), Section 2 Limitations, EASA Approved, Edition 0 (31-Oct-2013) Rev.4/6, TC EASA.A.010 / FAA N.A60EU.",2026-08-23,verificado,
TBM9,Daher TBM 930,MMO,no_aplica,Mach,limites_poh,"Daher TBM 900 Pilot's Operating Handbook (PIM), Section 2 Limitations, EASA Approved, Edition 0 (31-Oct-2013) Rev.4/6, TC EASA.A.010 / FAA N.A60EU.",2026-08-23,no_aplica,POH TBM900 no publica MMO (no_aplica) - consultar POH TBM930 si aparece
B350,Beechcraft King Air 350i,VNE,no_aplica,KIAS,limites_poh,"DGAC Chile (Direccion General de Aeronautica Civil), Departamento Seguridad Operacional / Subdepartamento Licencias / Seccion Evaluaciones - hoja ""Limitaciones de Operacion"" para Beechcraft Super King Air B-350, operador Aviasur.",2026-08-23,no_aplica,
B350,Beechcraft King Air 350i,VMO,263,KIAS,limites_poh,"DGAC Chile (Direccion General de Aeronautica Civil), Departamento Seguridad Operacional / Subdepartamento Licencias / Seccion Evaluaciones - hoja ""Limitaciones de Operacion"" para Beechcraft Super King Air B-350, operador Aviasur.",2026-08-23,verificado,DGAC Chile B-350; VMO/MMO coinciden con tuning MSFS previo (cruce conforme)
B350,Beechcraft King Air 350i,MMO,0.58,Mach,limites_poh,"DGAC Chile (Direccion General de Aeronautica Civil), Departamento Seguridad Operacional / Subdepartamento Licencias / Seccion Evaluaciones - hoja ""Limitaciones de Operacion"" para Beechcraft Super King Air B-350, operador Aviasur.",2026-08-23,verificado,DGAC Chile B-350; VMO/MMO coinciden con tuning MSFS previo (cruce conforme)
DHC6,De Havilland Canada DHC-6 Twin Otter,VNE,,KIAS,pendiente,,,pendiente,VNE solo esquis; para variante flota tren fijo = no aplicable o pendiente
DHC6,De Havilland Canada DHC-6 Twin Otter,VMO,166,KIAS,limites_poh,"MSFS 2024 DHC-6 Twin Otter Aircraft Operating Manual, pag. 42 y 46. flightsimulator.com/aircraft-manuals/",2026-08-16,verificado,VMO degradada con altitud: 166@0ft 156@10000ft 141@15000ft 126@20000ft 112@25000ft (pag42-46)
DHC6,De Havilland Canada DHC-6 Twin Otter,MMO,no_aplica,Mach,limites_poh,"MSFS 2024 DHC-6 Twin Otter Aircraft Operating Manual, pag. 42 y 46. flightsimulator.com/aircraft-manuals/",2026-08-16,no_aplica,
C25C,Cessna Citation CJ4,VNE,,KIAS,pendiente,,,pendiente,C25C usa VMO/MMO (no VNE) - VNE no aplica pero se deja pendiente por confirmar POH
C25C,Cessna Citation CJ4,VMO,305,KIAS,limites_poh,"MSFS Cessna Citation CJ4 Operator's Guide v1, seccion 2 ""Limitations"", pag. 5. flightsimulator.com/aircraft-manuals/",2026-08-16,verificado,VMO 260KIAS <8000ft (VMN) / 305KIAS 8000-27884ft; por encima manda MMO 0.77
